id,prob
1,0.038971799
2,0.036577255
3,0.098452242
4,0.16202227
5,0.223798557
6,0.102623558
7,0.099565018
8,NA
9,0.105038392
10,NA
11,0.04963443
12,0.091336346
13,NA
14,0.083482344
15,0.038079936
16,0.036187492
17,0.114706092
18,0.156290124
19,NA
20,0.067358285
21,0.047594688
22,NA
23,0.01545998
24,0.077722117
25,0.043152448
26,0.007386404
27,NA
28,0.065347864
29,NA
30,0.088140627
31,0.023614128
32,0.038473035
33,NA
34,0.046006909
35,0.041924653
36,NA
37,0.059752393
38,0.027149437
39,0.051292126
40,0.060237903
41,0.041557892
42,0.054131218
43,NA
44,0.089637577
45,0.228106442
46,0.082341222
47,0.098082085
48,0.089471847
49,0.072885596
50,0.09798034
51,0.067609726
52,0.047220923
53,0.060162985
54,NA
55,0.048282821
56,0.042346075
57,0.045444744
58,0.09523141
59,NA
60,0.034434779
61,0.036689528
62,0.03134729
63,0.087736129
64,0.029851383
65,0.0482323
66,NA
67,NA
68,0.040242032
69,0.069156163
70,0.085243274
71,0.049714124
72,0.047198765
73,0.021810966
74,NA
75,0.053621585
76,0.071004163
77,0.060544882
78,0.029474846
79,0.029803472
80,0.035216513
81,0.097508281
82,0.087399216
83,0.077076682
84,0.035659689
85,0.029864229
86,0.02518279
87,0.028174915
88,0.05646546
89,0.059416861
90,0.093337886
91,0.048520309
92,NA
93,NA
94,0.067885507
95,0.142737714
96,0.087907467
97,0.019037873
98,0.049549807
99,0.096041525
100,NA
101,0.031704942
102,NA
103,NA
104,0.096758059
105,0.055099493
106,NA
107,0.059864491
108,0.022074738
109,NA
110,0.155478139
111,0.040559631
112,0.076431619
113,NA
114,0.078156889
115,0.025015168
116,0.051046801
117,0.030321889
118,0.030843247
119,0.056365336
120,0.053212048
121,0.06696278
122,0.068532238
123,0.037814296
124,0.03840811
125,0.10980429
126,0.098054259
127,0.033537944
128,0.045253347
129,0.029229613
130,0.052085223
131,NA
132,NA
133,0.047056735
134,0.07062813
135,0.216401582
136,0.056941033
137,0.087834927
138,0.044855655
139,0.086670998
140,0.020770816
141,0.051549578
142,NA
143,0.112954568
144,0.042109421
145,0.122767898
146,0.065130711
147,0.087058608
148,0.105293308
149,NA
150,NA
151,0.034667162
152,0.087453991
153,0.050587088
154,0.076263687
155,0.072181433
156,0.038650248
157,0.065639917
158,NA
159,0.050731187
160,0.041957606
161,0.037691998
162,0.021949508
163,0.052200953
164,0.085035072
165,0.040238791
166,0.070101491
167,0.017844487
168,NA
169,0.037980897
170,0.050640186
171,0.061666166
172,NA
173,0.076902643
174,0.032798683
175,0.082001917
176,0.085376245
177,NA
178,0.074289899
179,NA
180,NA
181,0.053385558
182,0.042508076
183,0.087217365
184,0.053679238
185,NA
186,0.058306102
187,0.038959833
188,0.078110293
189,0.071955345
190,0.069037836
191,0.028874895
192,NA
193,0.028937001
194,0.0452505
195,0.030927134
196,0.043322778
197,0.06524937
198,0.053979486
199,0.036235081
200,0.060163957
201,0.093823672
202,0.053146131
203,0.105108595
204,0.044573457
205,0.056167096
206,0.045345185
207,NA
208,0.074627938
209,0.04362318
210,0.079909034
211,0.100636029
212,NA
213,0.096291995
214,0.092909322
215,0.08614563
216,0.064743227
217,0.039557202
218,0.338190338
219,0.019204186
220,0.163735295
221,0.092605497
222,0.031528512
223,NA
224,0.066856422
225,0.117115636
226,0.045364107
227,NA
228,NA
229,0.019003792
230,0.026199668
231,0.072070521
232,NA
233,0.032750033
234,NA
235,0.091409537
236,0.025148471
237,0.029715806
238,0.281790409
239,NA
240,0.028706004
241,0.079379073
242,NA
243,NA
244,0.065514127
245,0.098063822
246,0.027453811
247,NA
248,0.061440665
249,0.104475856
250,0.082852964
251,0.029120373
252,0.06117578
253,0.050414028
254,NA
255,0.068039638
256,0.027974204
257,0.046556085
258,NA
259,NA
260,0.036056729
261,0.055293831
262,0.062747348
263,0.040834903
264,0.063533487
265,0.046673318
266,0.081877006
267,0.06316476
268,0.09149906
269,NA
270,NA
271,0.066431468
272,NA
273,NA
274,0.05476837
275,0.042004627
276,0.063200336
277,0.05973318
278,0.074156105
279,NA
280,0.024987088
281,0.03439135
282,0.078566274
283,0.027450765
284,0.081480622
285,0.042152141
286,0.046111956
287,0.066622765
288,NA
289,0.049650418
290,NA
291,0.068761096
292,0.045560776
293,0.026113183
294,0.12841
295,0.031579254
296,0.026615877
297,NA
298,NA
299,0.049433242
300,0.035112025
301,NA
302,NA
303,0.08239601
304,0.041652454
305,0.048856862
306,0.025383089
307,0.029055995
308,0.03710668
309,0.048521192
310,NA
311,0.061318202
312,0.142818297
313,0.042874013
314,0.044397905
315,0.054792605
316,0.027469542
317,0.079513638
318,0.0816439
319,0.075918588
320,0.072940916
321,0.189693319
322,NA
323,0.036691681
324,0.042712759
325,0.035331245
326,0.031554296
327,0.098429677
328,0.078252499
329,0.036499471
330,0.066539123
331,0.042140801
332,0.099198561
333,0.054450963
334,NA
335,0.086750849
336,0.030277712
337,0.091325714
338,0.031979549
339,NA
340,NA
341,0.20220573
342,NA
343,0.054146274
344,0.042774054
345,0.029154411
346,0.151466402
347,0.027366321
348,0.020610291
349,0.093246996
350,NA
351,0.048605881
352,0.081163792
353,0.056607775
354,0.0858507
355,NA
356,0.095698509
357,0.044324917
358,0.004975361
359,0.072479332
360,NA
361,0.117161414
362,0.041535866
363,0.022495097
364,0.034064609
365,0.024068324
